gene_id	cluster	relevance
AT3G06035	DN_C3	coregulated
AT2G44230	DN_C3	coregulated
AT2G40150	DN_C3	coregulated
AT3G01810	DN_C3	coregulated
AT3G21190	DN_C3	coregulated
AT5G19260	DN_C3	coregulated
AT3G06020	DN_C3	coregulated
AT2G29510	DN_C3	coregulated
AT1G78570	DN_C3	coregulated
AT1G26570	DN_C3	coregulated
AT5G09870	DN_C3	coregulated
AT3G27400	DN_C3	coregulated
AT3G09540	DN_C3	coregulated
AT3G05910	DN_C3	coregulated
AT1G01120	DN_C3	coregulated
AT1G20490	DN_C3	coregulated
AT1G49430	DN_C3	coregulated
AT4G17470	DN_C3	coregulated
AT1G74210	DN_C3	coregulated
AT1G06550	DN_C3	coregulated
AT5G48880	DN_C3	coregulated
AT2G37040	DN_C3	coregulated
AT5G54160	DN_C3	coregulated
AT5G13930	DN_C3	coregulated
AT2G22930	DN_C3	coregulated
AT5G42800	DN_C3	coregulated
AT5G08640	DN_C3	coregulated
AT1G06000	DN_C3	coregulated
AT3G02250	DN_C3	coregulated
AT4G29740	DN_C3	coregulated
AT1G19640	DN_C3	coregulated
AT5G38020	DN_C3	coregulated
AT4G15210	DN_C3	coregulated
AT5G53760	DN_C3	coregulated
AT4G30530	DN_C3	coregulated
AT4G22570	DN_C3	coregulated
AT4G29700	DN_C3	coregulated
AT4G29690	DN_C3	coregulated
AT3G07320	DN_C3	coregulated
AT3G54990	DN_C3	coregulated
AT1G16530	DN_C3	coregulated
AT5G01840	DN_C3	coregulated
AT4G36640	DN_C3	coregulated
AT5G47730	DN_C3	coregulated
AT1G24030	DN_C3	coregulated
AT3G26700	DN_C3	coregulated
AT3G48350	DN_C3	coregulated
AT1G59970	DN_C3	coregulated
AT5G61570	DN_C3	coregulated
AT3G14350	DN_C3	coregulated
AT1G33260	DN_C3	coregulated
AT4G10390	DN_C3	coregulated
AT5G58670	DN_C3	coregulated
AT1G78050	DN_C3	coregulated
