gene_id	direction
At3g55610	up
At3g48460	up
At2g43330	up
At1g02310	up
At5g13330	up
At5g49280	up
At1g19230	up
At2g15970	up
At5g64900	up
At1g10090	up
At1g73920	up
At1g01360	up
At5g10230	up
At5g09980	up
At1g08920	up
At5g60850	up
At3g43270	up
At5g26010	up
At5g25110	up
At5g55970	up
At3g22620	up
At1g68050	up
At5g65470	up
At5g14700	up
At2g16990	up
At4g30460	up
At5g20900	up
At5g17300	up
At3g60520	up
At1g53885	up
At5g60890	up
At1g66890	up
At1g72510	up
At3g10250	up
At5g22270	up
At4g13290	up
At5g07010	up
At3g05630	up
At5g52280	up
At5g06530	up
At5g66050	up
At3g62090	up
At4g01950	up
At5g64310	up
At3g61060	up
At1g28370	up
At5g03670	up
At2g45600	up
At3g27210	up
At2g39450	up
At2g40435	up
At4g32290	up
At3g11430	up
At5g62150	up
At3g12510	up
At1g27150	up
At4g01280	up
At4g18700	up
At3g25400	up
At5g03080	up
At1g50630	up
At3g16800	up
At3g51860	up
At1g08900	up
At1g09530	up
At5g10300	up
At5g67060	up
At5g01670	up
At4g23700	up
At1g19530	up
At3g56730	up
At1g47960	up
At4g37470	up
At3g19290	up
At5g65640	up
At1g01120	up
At2g35585	up
At3g26910	up
At1g20590	up
At3g27270	up
At3g14595	up
At5g09620	up
At5g05140	up
At3g55430	up
At2g21590	up
At1g53560	up
At1g80240	up
At5g15850	up
At3g08860	up
At5g01600	up
At2g04350	up
At5g53120	up
At4g16670	up
At1g68440	up
At3g10500	up
At2g38760	up
At4g33960	up
At1g69010	up
At1g78170	up
At4g21440	up
At4g30850	up
At5g42050	up
At1g09480	up
At5g02230	up
At4g33040	up
At3g11690	up
At4g09600	up
At4g34230	up
At3g17860	up
At5g28510	up
At1g69295	up
At1g69230	up
At2g40900	up
At5g61590	down
At2g40330	down
At2g39030	down
At5g46780	down
At3g23880	down
At1g06160	down
At4g31800	down
At5g05440	down
At5g07580	down
At3g06070	down
At1g49230	down
At4g21680	down
At3g23550	down
At4g18010	down
At2g43140	down
At2g38310	down
At5g47220	down
At3g13760	down
At4g11460	down
At1g67110	down
At1g02860	down
At5g40590	down
At4g18340	down
At3g26330	down
At4g34770	down
At1g61590	down
At4g19690	down
At3g50740	down
At2g29330	down
At4g36670	down
At5g61160	down
At3g01260	down
At1g07090	down
At3g45710	down
At4g21410	down
At1g29430	down
At1g21110	down
At3g45650	down
At1g53430	down
At1g06830	down
At1g21270	down
At5g46330	down
At4g21870	down
At5g63180	down
At3g15080	down
At1g21100	down
At5g19890	down
At1g52190	down
At2g18300	down
At4g38860	down
At1g69530	down
At2g26440	down
At4g23270	down
At5g47980	down
At1g65390	down
At1g78270	down
At1g56430	down
At1g62280	down
At1g77990	down
At1g30960	down
At1g51790	down
At4g17460	down
At4g36410	down
At1g72300	down
At2g21220	down
At5g66985	down
At5g66770	down
At5g25810	down
At2g37540	down
At2g16660	down
At1g64405	down
At1g52200	down
At1g12020	down
At5g46450	down
At2g02020	down
At1g68840	down
At4g03400	down
At1g15670	down
At3g18200	down
At3g44450	down
At4g30420	down
At4g21400	down
At3g58120	down
At3g50750	down
At1g51850	down
At5g19120	down
At3g26590	down
At1g11350	down
At1g71400	down
At3g55150	down
At1g31770	down
At5g46790	down
At3g61590	down
At4g17870	down
At5g14760	down
At1g68520	down
At5g39080	down
At1g24625	down
At1g16390	down
At1g64780	down
At5g15830	down
At2g26710	down
At4g02220	down
At2g17230	down
At3g04650	down
At4g20780	down
At5g67280	down
At1g24530	down
At5g14120	down
At1g80280	down
At3g50350	down
At5g44680	down
At1g72450	down
At2g17820	down
At5g63140	down
At1g70990	down
At2g36970	down
At3g49940	down
At5g02890	down
At4g16860	down
At1g51800	down
At3g32920	down
At4g34740	down
At2g44790	down
At1g03850	down
At1g66940	down
At4g38840	down
At2g43130	down
At2g35270	down
At4g37540	down
At1g52290	down
At1g13110	down
At2g30010	down
At3g02170	down
At3g25890	down
At1g13420	down
At1g63880	down
At2g24580	down
At1g69760	down
At1g29280	down
At5g20550	down
At1g75670	down
At1g76990	down
At3g24290	down
At3g20015	down
At1g51805	down
At2g46450	down
At2g31110	down
At4g08780	down
At1g49860	down
At1g77690	down
At1g13670	down
At1g33600	down
At1g33240	down
At1g34040	down
At5g10520	down
At3g13610	down
At5g61420	down
At4g24350	down
At5g10290	down
At4g34950	down
At1g18140	down
At1g64170	down
At2g42280	down
At5g47910	down
At5g38720	down
At1g16280	down
At3g49670	down
At1g12500	down
At1g61380	down
At4g24340	down
At5g45650	down
At5g12980	down
At1g24280	down
At3g15570	down
At5g66850	down
At2g02950	down
At2g39380	down
At1g54890	down
At4g17810	down
At1g09090	down
At1g50840	down
At3g60320	down
At1g21910	down
At3g55560	down
At4g12980	down
At1g23480	down
At5g65970	down
At5g17930	down
At1g60850	down
At1g76240	down
At4g05200	down
At1g50560	down
At1g08930	down
At1g15410	down
At1g53440	down
At1g15490	down
At1g72430	down
At2g28930	down
At5g10020	down
At3g14840	down
At2g33330	down
At2g41940	down
At5g20250	down
At4g38620	down
At1g11670	down
At1g14040	down
At1g70520	down
At2g43200	down
At3g28080	down
At5g28290	down
At5g43270	down
At4g04540	down
At5g07110	down
At1g76890	down
At2g31730	down
At4g13510	down
At2g19650	down
At3g55450	down
At1g58110	down
At2g39660	down
At3g49620	down
At2g01630	down
At4g02400	down
At3g23800	down
At1g72890	down
At5g07590	down
At2g18900	down
At5g35735	down
At3g01160	down
At4g08850	down
At5g03380	down
At1g03820	down
At4g12390	down
At1g72200	down
At5g04230	down
At3g62280	down
At2g19590	down
At5g56040	down
At4g26150	down
At4g36540	down
At1g76880	down
At2g14460	down
At4g31910	down
At3g01860	down
At2g40230	down
At4g15390	down
At1g73830	down
At5g57180	down
At1g77380	down
At1g60080	down
At5g38550	down
At5g03700	down
At1g65400	down
At5g60450	down
At3g29810	down
At3g46820	down
At1g49730	down
At2g28600	down
At4g03190	down
At5g04950	down
At5g66690	down
At4g27300	down
At2g40700	down
At5g48830	down
At2g24120	down
At5g02760	down
At5g10580	down
At1g67800	down
At3g13690	down
